Técnico;1.01;CEP;1.02;1.03;2.01;2.02;2.03;2.04;2.05;2.06;2.07;2.08;3.01;3.02;4.01;4.021;4.022;4.03;4.04;4.05
T199QZZ;2300101;08430-026;6;65;2;4;2;-;4;7;1;1;12;2;2;3;1967;2;1;3
T095Q;2900207;04854-280;6;51;1;4;2;-;9;5;3;-;6;2;1;1;1988;2;2;2
T147QA;2900108;04470-315;1;15;1;4;2;-;7;6;2;-;12;2;1;12;1984;1;2;1
T027Z;2600054;08161-005;6;64;5;2;2;-;7;1;2;-;4;1;2;6;1974;3;1;2
T17XX7;2900306;04847-005;5;13;1;4;1;4;6;6;2;-;1;2;1;2;1980;1;2;2
T149EE;2300150;08081-383;1;64;2;1;1;2;8;3;1;1;2;2;2;11;1979;2;1;1
T0200144;2300200;08081-385;6;13;6;0;1;5;10;5;1;2;4;2;1;9;1968;3;1;3
T020032;2400109;08021-457;5;52;2;2;2;-;8;5;3;-;2;2;2;10;1982;5;1;3
T117XAZ;2200053;04429-005;6;15;5;4;1;4;6;3;3;-;1;2;1;5;1980;1;1;2
T111EASA;2300309;04854-270;1;12;5;1;2;-;1;6;2;-;2;2;1;6;1983;1;2;2
T0410121;2900355;04845-205;6;13;3;1;1;5;10;5;1;1;12;1;1;10;1993;1;1;3
